a-b-firmware-image-update | A/B Firmware Image Update | aka: dual-bank firmware update, A/B partitions, seamless update, golden image / rollback (variants) | embedded-systems
aba-mitigation-via-tagged-pointer | ABA Mitigation via Tagged Pointer | aka: version counter, modification counter, stamped reference, generation count | synchronization-coordination
abstract-factory | Abstract Factory | aka: Kit | oo-patterns
abstract-session | Abstract Session | aka: session object (per-client service state), service access point object | oo-patterns
abstract-syntax-tree | Abstract Syntax Tree | aka: AST, syntax tree | parsing-text
acceptor-connector | Acceptor-Connector | aka:  | communication
access-control-list | Access Control List | aka: ACL, per-object permission list, access matrix by column | robustness-security
acknowledgement | Acknowledgement | aka: ack, positive acknowledgement | communication
acquire-release-ordering | Acquire-Release Ordering | aka: acquire/release semantics, release-acquire pairing, publication safety | synchronization-coordination
active-object | Active Object | aka: Concurrent Object, Actor Model, actors, active entities with mailboxes | execution-concurrency
active-record | Active Record | aka:  | persistence-durability
acyclic-visitor | Acyclic Visitor | aka:  | oo-patterns
adapter | Adapter | aka: Wrapper (GoF alias, shared with Decorator) | oo-patterns
adjacency-list-adjacency-matrix | Adjacency List / Adjacency Matrix | aka: adjacency-list representation, adjacency-matrix representation, compressed sparse row (CSR, packed variant) | data-representation
aggregate | Aggregate | aka:  | state-management
aggregate-instance | Aggregate Instance | aka: return struct by value, parameter/result object in C | construction-api
aggregator | Aggregator | aka:  | communication
allocation-wrapper | Allocation Wrapper | aka: malloc wrapper, xmalloc (GNU checked-allocation convention) | resource-management
allowlist-input-validation | Allowlist Input Validation | aka: whitelist validation, positive validation, positive security model, denylist/blacklist validation (weaker complement), Intercepting Validator (placement variant, Core Security Patterns) | robustness-security
arbitrary-precision-arithmetic | Arbitrary-Precision Arithmetic | aka: bignum, multiple-precision arithmetic, big integer / BigInt, arbitrary-precision integers, GMP-style arithmetic | numeric-precision
asset-streaming | Asset Streaming | aka: resource streaming, level streaming, world streaming, texture streaming (mip streaming) | resource-management
association-table-mapping | Association Table Mapping | aka: join table mapping | persistence-durability
async-await-model | Async-Await Model | aka: async workflows, async functions, awaitable model | execution-concurrency
asynchronous-completion-token | Asynchronous Completion Token | aka: ACT | execution-concurrency
audit-log | Audit Log | aka: audit trail, security event log, Secure Logger (Core Security Patterns), tamper-evident log / hash-chained log (hardened variant), change log (domain-level) | robustness-security
